Продукт,Красный флаг,Комментарий,Когда подходит
Кредит под залог недвижимости - основной,отсутствие самого залога,нет объекта - нет кредита под залог,"- Нужна сумма более 300 000
- Есть много кредитов, нужен еще один, но банки отказывают в потребительском кредите
- Есть много кредитов, можно все объединить в один залоговый, платить меньше ежемесячно в одно место и еще сверху получить сумму наличными ""на руки""
- Есть текущее обременение в виде ареста - можно получить новое одобрение под залог этой эе недвижимости, снять арест и получить кредит 
- Есть текущее обременение залога - можно получить новое одобрение под залог этой эе недвижимости, снять арест и получить кредит
- Есть текущий залог под высокую ставку, можно взять новый кредит, платить меньше, еще и деньги останутся
- Самый выгодный по ставке, самые большие сроки кредита и суммы
- Можно с просрочками и плохой кредитной историей"
,неподходящий регион объекта залога,https://docs.google.com/spreadsheets/d/1B4kmHrFsEj2Vgsi0HQsJyLq6cBAPZYt70e9oZvz_SKg/edit?gid=0#gid=0,
,неподходящий типы недвижимости ,"Смотрим только:
квартиры
апартаменты
коммерческую недвижимость
таунхаусы
дома ИЖС
Комнаты - только Москва и Санкт-Петербург",
,неприватизированная недвижимость,Муниципальная недвижимость не может быть заложена,
,доля с несовершеннолетним,"Не рассматриваем, стоп-фактор",
,нет согласия всех собственников,"Единоличный собственник - лучшее, что может быть, 
в остальных случаях нужны согласия всех собственников,
если покупалась в браке - согласие супруга/супруги ",
,процедура банкротства,активная ,
,маленькая сумма,"клиент не хочет брать более 300 000 рублей, то есть если сумма маленькая - имеет смысл предложить взять побольше",
,текущее обременение - ипотека,"Пока будем рассматривать только для БФЛ - сохранить ипотеку, но списать остальные долги, в кредит под залог недвижимости не берем",
,возраст,< 21 или > 65 лет,
Займ под залог ПТС,отсутствие самого залога,нет авто - нет кредита под залог,"- Быстро нужны деньги здесь и сейчас, без долгих проверок
- Решение с плохой кредитной историей или просрочками
- Выгодней микрозаймов без залога (ниже процент, больше суммы), легче получить, чем потребительский кредит без залога
- Чтобы не продавать машину и не ""парковать"" ее на стоянку ломбарда - можно взять займ под залог ПТС
- Когда хочется все оформить в онлайне и получить деньги на карту быстро
- Когда важно и деньги получить, и машиной продолжать пользоваться"
,слишком старый иностранный авто,2007 и старше,
,слишком старый отечественный авто,2015 и старше,
,авто находится в кредите ,"Речь именно о кредите, если авто в займе под залог ПТС - то наоборот, можем помочь, но без первичной ссылки на партнера",
,на авто наложены ограничения на регистрационные действия,"онлайн нельзя, только перевод на отдел продаж, но без первичной ссылки на партнера",
,автомобиль в аресте или в исполнительном производстве,"онлайн нельзя, только перевод на отдел продаж, но без первичной ссылки на партнера",
,нечитаемый VIN или проблемы с идентификационными номерами,"онлайн нельзя, только перевод на отдел продаж, но без первичной ссылки на партнера",
,возраст > 63 лет,"онлайн нельзя, только перевод на отдел продаж, но без первичной ссылки на партнера",
БФЛ (РИ) - Реализация имущества,общая сумма всех долгов на текущий момент < 300 000 рублей ,"1) Исключение - если сумма от 200000 до 300000 и есть действующие микрокредиты с активными непросуженными долгами - то можно рассматривать, так как долг быстро растет за счет пенни и штрафов
2) Если любой другой сценарий < 300000 и клиент хочет именно списать - долги должны быть обязательно просуженными, тогда подходит ВБФЛ (упрощенная процедура списания через МФЦ)","- Когда просрочки начинают нарастать снежным комом
- Когда не видно выхода из сложившейся ситуации 
- Когда устал от кредитной нагрузки и понимаешь, что все, дальше просто не потянешь
- Когда вот-вот начнутся просрочки, а денег на их покрытие не предвидится
- Когда есть текущие просрочки, а рефинансировать или получить новый кредит/займ невозможно
- Когда все деньги уходят на кредиты
- Когда большая часть денег уходит на кредиты
- Когда есть ипотека + другие кредиты или/и займы, сумма других кредитов или/и займов больше 300 000 рублей, то можно списать эти другие кредиты или/и займы, а ипотеку сохранить и сохранить ипотечное жилье
- Когда есть единственная недвижимость + другие кредиты или/и займы, то можно списать эти другие кредиты или/и займы, а единственную недвижимость сохранить по закону
- Когда остался без работы и нечем платить
- Когда угрожают коллекторы и кредиторы, мешают жить
- Когда пробовали списать долги с другими юристами или через МФЦ самостоятельно, но не получилось или юристы подвели
- Когда перепробовал все способы рефинансирования, перекредитования, но везде отказы и давление нарастает
- Когда испытываешь постоянное психологическое давление из-за долгов, бессоница, расшатанная нервная система, кошмары
- Когда из-за долгов обострение хронических заболеваний на фоне стресса
- Когда развод/разрыв отношений из-за долгов
- Когда заблокированы все счета приставами и всю з/п списывают на закрытие кредитов, не на что жить
"
,большой доход,"Если неравенство неверное, то не подходит на реализацию: 
((доход - пм - n*ижд)*60)*0.7 ≤ сд, где 
доход - сумма всех доходов, с которых уплочены налоги
пм - прожиточный минимум, всегда = 20 000
n*ижд - количество иждивенцев * 15 000
*60 - умножаем на 60 месяцев
сд - сумма всех долгов
",
,недвижимость в собственности в залоге,"сложный кейс, надо считать и уметь оценивать ндв, пока не берем в БФЛ (РИ), но может подойти на БФЛ (РД) - реструктуризацию долга",
,много имущества,"пока описание такое: 2+ объекта недвижимости в собственности (кроме гаража, сарая, доли в объекте < 1/2)",
,процедура банкротства,активная или завершенная < 5 лет назад,
,"есть автокредит, а авто нет","продал на запчасти, перегнал куда-то и тд - такие долги не списываются, а списывать выборочно нельзя - только все вместе",
,"Значимая часть долгов относится к обязательствам, которые обычно не списываются после процедуры","Алименты
Возмещение вреда жизни или здоровью
Возмещение морального вреда
Задолженность по зарплате и выходным пособиям, если человек выступал работодателем
Субсидиарная ответственность
Вред имуществу, причиненный умышленно или по грубой неосторожности
Требования о применении последствий недействительности подозрительных сделок",
,Клиент не испытывает никаких трудностей с обслуживанием долгов,"Совокупность: нет текущих просрочек И клиент говорит, что все у него хорошо, он может платить",
БФЛ (РД) - Реструктуризация,В последние 8 лет уже утверждался план реструктуризации его долгов,-,"
- Когда есть стабильные доход (без дохода не одобрять реструктуризацию, только списание сразу) и хочешь изменить график платежей
- Когда по внутренним причинам хочешь именно платить, не хочешь списывать, просто нужен приемлемый платеж
- Когда высокий доход, но денег не хватает на жизнь и обслуживание долга, а в рефинансировании отказывают
- Когда много имущества, которое не хочешь терять (недвижимость, авто), в этом случае можно поменять график платежей, но не идти в процедуру реализации имущества
- Когда просрочки начинают нарастать снежным комом из-за неподъемного графика платежей 
- Когда не видно выхода из сложившейся ситуации с текущим графиком платежей, но если поменять - то можно обслуживать долг
- Когда устал от кредитной нагрузки и понимаешь, что все, дальше просто не потянешь, с текущим графиком платежей, но если поменять - то можно обслуживать долг
- Когда все деньги уходят на кредиты
- Когда большая часть денег уходит на кредиты- Когда угрожают коллекторы и кредиторы, мешают жить
- Когда пробовали списать долги с другими юристами, но не получилось или юристы подвели
- Когда перепробовал все способы рефинансирования, перекредитования, но везде отказы и давление нарастает
- Когда испытываешь постоянное психологическое давление из-за долгов, бессоница, расшатанная нервная система, кошмары
- Когда из-за долгов обострение хронических заболеваний на фоне стресса
- Когда развод/разрыв отношений из-за долгов
- Когда заблокированы все счета приставами и всю з/п списывают на закрытие кредитов, не на что жить

Очень похоже на БФЛ (РИ), но когда человек с доходом и по каким-то причинам РИ не хочет (совесть / принцип) или не подходит (в основном дополнительное имущество или высокая з/п относительно долга)
"
,процедура банкротства,активная или завершенная < 5 лет назад,
,нет текущего официального дохода,"тут не утвердят никакой план реструктуризации, так как нет дохода",
