,Поле,Тип поля,Значения,Вложенность,Квалификация,Дополнительно
1,Сумма,integer,-,1,"Цель - на что нужны деньги?
Срочность - как быстро нужны деньги?
Платеж - сколько было бы комфортно платить в месяц?","
Цель может косвенно говорить о наличии / отсутствии трудностей, например, рефин / закрыть долги - говорит о том, что скорее всего тяжело платить, а постройка бани на участке скорее свидетельствует о финансовой стабильности,
Срочность говорит о теплоте клиента, как правило ""нужно вчера"" быстрее принимают решения, чем ""просто консультируюсь"", еще срочность может быть учитана при подборе продукта - какие-то продукты можно получить онлайн, а что-то требует больше времени, например, кредит под щалог недвижимости
Платеж - данный вопрос выражает заботу, дает надежду на лучшее решение, ответ также может быть использован при выборе продукта, например, если мы понимаем, что комфортный платеж при нужной сумме возможен только при сроке 10 лет, значит тут только залог недвижимости
Все эти данные могут быть полезны как экспертам, которые будут работать после агента, так и нам для дальнейшей сегментации и предикции "
2,ФИО,string,-,1,-,
3,Телефон,integer,-,1,-,
4,Дата рождения,"тип поля: date
формат отображения: DD.MM.YYYY",-,1,-,-
5,Адрес регистрации,string,-,1,-,
6,галочка совпадает,checkbox,"Да
Нет",1,-,
7,Адрес проживания,string,-,1,-,
8,Есть текущие кредиты или займы? ,radio button,"Да
Нет",1,"Если значение = Нет - еще раз уточняем, верно ли человек указал, что кредитов нет вообще?
Если есть - собираем 8 - 8.4",
8.1,Общая задолженность по всем кредитным обязательствам,integer,-,2,"Полнота сведений - еще раз уточняем, это по всем кредитам и займам?
Если сумма изменяется - обновляем значение ",
8.2,Общие ежемесячные выплаты,integer,-,2,"Насколько комфортно сейчас платить?
",
8.3,Виды активных кредитов,checkbox group,"Беззалоговый потребительский
Залог недвижимости
Ипотека
Микрокредиты
Залог автомобиля
",2,"Микрокредиты - много ли сейчас действующих?
Залог автомобиля - это кредит на покупку авто был, кредит под залог в банке или быстрый займ под залог ПТС?
Залог недвижимости - сверяем остаток и спрашиваем у клиента примерную оценку","Микрокредиты - наличие больше 1 свидетельствует о затруднительном положении клиента и отрезает сразу несколько продуктов в рекомендации
Залог авто - если есть кредит под залог ПТС, то можем предложить ставку в среднем в 2 раза меньше, чем текущая
Залог недвижимости - если есть, значит можем попробовать рефинансировать, такие клиенты особенно ценны на падающей ставке, так как у них обычно дорогие кредиты, их можно рефинансировать под залог недвижимости еще раз, снизить ставку и добрать сумму, если надо "
8.4,Продолжительность просрочки,"dropdown - если будет в комбинации
radio button - если отдельным шагом","Нет просрочек
До 1 месяца
От 1 до 3 месяцев
От 3 до 6 месяцев
Более 6 месяцев",2,"Были ли просрочки до этого, если да, то сколько длилась максимальная просрочка и когда она была?
Нет - уточняем, точно ли нет, ведь это важно
До 1 месяца - сколько таких просрочек было за последние 6 месяцев?","Если были просрочки - выясняем какие и отсекаем неподходящие программы в рекомендации
Если нет - даблчек, ведь клиенты часто врут в анкете, а просрочка - основной триггер для наших основных рекомендаций
Если есть просрочка до 1 месяца - выясняем как часто и отсекаем неподходящие программы в рекомендации"
9,Семейное положение,radio button,"Женат / Замужем
Не женат / Не замужем",1,-,
10,Иждивенцы,radio button,"Да (Есть)
Нет",1,-,
10.1,Количество иждивенцев,integer,-,2,-,
11,Тип занятости,radio button,"Работаю по найму
Работаю на себя
Не работаю",1,-,
11.1,Доход,integer,-,2,"Прочий официальный доход - пенсии, выплаты, алименты, пособия, доход от ИП или СЗ
Не работаю - сейчас совсем не зарабатываете?
Работаю на себя - другие доходы официальные
Работаю по найму - другие доходы официальные ",Учитываем в расчетах БФЛ
12,Есть ли в собственности авто?,radio button,"Да
Нет",1,-,
12.1,Марка,string,-,2,-,
12.2,Модель,string,-,2,-,
12.3,Год выпуска,dropdown: YYYY,"2026
2025
2024
2023
2022
2021
2020
2019
2018
2017
2016
2015
2014
2013
2012
2011
2010
2009
2008
2007
2006
2005
2004
2003
2002
2001
2000
Старше 2000",2,-,
12.4,В залоге,radio button,"Да
Нет",2,"Если не уточнили уже  в пункте 8.3, то: Залог автомобиля - это кредит на покупку авто был, кредит под залог в банке или быстрый займ под залог ПТС?",
12.5,Остаток по кредиту,integer,-,3,Примерная стоимость авто со слов клиента? ,"Тут будем понимать, насколько реально еще раз перезаложить, полезная инфа для эксперта, а так же для агента - если долг/оценка > 80%, то нет даже пробовать "
12.6,Информация о 2 автомобиле,,-,4.1,Аналогично 12.1 - 12.5,
13,Расходы на аренду жилья,integer,-,1,-,
14,Тип актива,radio button,"Недвижимость
Нет активов",1,"Если нет активов: вы указали, что не можете усилить заявку недвижимостью, верно?
Если есть - собираем информацию 14.1 - 14.6",
14.1,Тип недвижимости,radio button,"Дом
Квартира
Коттедж
Аппартаменты
Таунхаус
Коммерческая недвижимость
Комната",2,-,
14.2,Регион собственности,string,-,2,-,
14.3,Форма собственности,radio button,"Единоличная
Долевая",2,-,
14.4,С кем доля, radio button,"С супругом(ой)
Другое",3,-,
14.5,Обременение/ограничение,radio button,"ипотека
залог
арест
нет",2,-,
14.6,Остаток по кредиту,integer,-,3,Примерная стоимость ндв со слов клиента?,"Тут будем понимать, насколько реально еще раз перезаложить, полезная инфа для эксперта, а так же для агента - если долг/оценка > 80%, то нет даже пробовать "
14.7,Вторая недвижимость,повторение цикла,,4.1,Аналогично 14.1 - 14.6,
